SEQ,SITE_CODE,SITE_NAME,SEX,BIRTH_CNT,FATHER_AGE,MOTHER_AGE,UPDATE_DATE
序號,區域別代碼,區域別,嬰兒性別,嬰兒出生數,生父年齡,生母年齡,更新日期
1,65000010,新北市板橋區,男,0,未滿20歲,未滿15歲,20210202
2,65000010,新北市板橋區,男,0,未滿20歲,15～19歲,20210202
3,65000010,新北市板橋區,男,1,未滿20歲,20～24歲,20210202
4,65000010,新北市板橋區,男,0,未滿20歲,25～29歲,20210202
5,65000010,新北市板橋區,男,0,未滿20歲,30～34歲,20210202
6,65000010,新北市板橋區,男,0,未滿20歲,35～39歲,20210202
7,65000010,新北市板橋區,男,0,未滿20歲,40～44歲,20210202
8,65000010,新北市板橋區,男,0,未滿20歲,45～49歲,20210202
9,65000010,新北市板橋區,男,0,未滿20歲,50歲以上,20210202
10,65000010,新北市板橋區,女,0,未滿20歲,未滿15歲,20210202
11,65000010,新北市板橋區,女,0,未滿20歲,15～19歲,20210202
12,65000010,新北市板橋區,女,0,未滿20歲,20～24歲,20210202
13,65000010,新北市板橋區,女,0,未滿20歲,25～29歲,20210202
14,65000010,新北市板橋區,女,0,未滿20歲,30～34歲,20210202
15,65000010,新北市板橋區,女,0,未滿20歲,35～39歲,20210202
16,65000010,新北市板橋區,女,0,未滿20歲,40～44歲,20210202
17,65000010,新北市板橋區,女,0,未滿20歲,45～49歲,20210202
18,65000010,新北市板橋區,女,0,未滿20歲,50歲以上,20210202
19,65000010,新北市板橋區,男,0,20～24歲,未滿15歲,20210202
20,65000010,新北市板橋區,男,7,20～24歲,15～19歲,20210202
21,65000010,新北市板橋區,男,36,20～24歲,20～24歲,20210202
22,65000010,新北市板橋區,男,7,20～24歲,25～29歲,20210202
23,65000010,新北市板橋區,男,3,20～24歲,30～34歲,20210202
24,65000010,新北市板橋區,男,0,20～24歲,35～39歲,20210202
25,65000010,新北市板橋區,男,0,20～24歲,40～44歲,20210202
26,65000010,新北市板橋區,男,0,20～24歲,45～49歲,20210202
27,65000010,新北市板橋區,男,0,20～24歲,50歲以上,20210202
28,65000010,新北市板橋區,女,0,20～24歲,未滿15歲,20210202
29,65000010,新北市板橋區,女,4,20～24歲,15～19歲,20210202
30,65000010,新北市板橋區,女,22,20～24歲,20～24歲,20210202
31,65000010,新北市板橋區,女,9,20～24歲,25～29歲,20210202
32,65000010,新北市板橋區,女,3,20～24歲,30～34歲,20210202
33,65000010,新北市板橋區,女,0,20～24歲,35～39歲,20210202
34,65000010,新北市板橋區,女,0,20～24歲,40～44歲,20210202
35,65000010,新北市板橋區,女,0,20～24歲,45～49歲,20210202
36,65000010,新北市板橋區,女,0,20～24歲,50歲以上,20210202
37,65000010,新北市板橋區,男,0,25～29歲,未滿15歲,20210202
38,65000010,新北市板橋區,男,3,25～29歲,15～19歲,20210202
39,65000010,新北市板橋區,男,36,25～29歲,20～24歲,20210202
40,65000010,新北市板橋區,男,119,25～29歲,25～29歲,20210202
41,65000010,新北市板橋區,男,43,25～29歲,30～34歲,20210202
42,65000010,新北市板橋區,男,10,25～29歲,35～39歲,20210202
43,65000010,新北市板橋區,男,3,25～29歲,40～44歲,20210202
44,65000010,新北市板橋區,男,0,25～29歲,45～49歲,20210202
45,65000010,新北市板橋區,男,0,25～29歲,50歲以上,20210202
46,65000010,新北市板橋區,女,0,25～29歲,未滿15歲,20210202
47,65000010,新北市板橋區,女,4,25～29歲,15～19歲,20210202
48,65000010,新北市板橋區,女,37,25～29歲,20～24歲,20210202
49,65000010,新北市板橋區,女,109,25～29歲,25～29歲,20210202
50,65000010,新北市板橋區,女,28,25～29歲,30～34歲,20210202
51,65000010,新北市板橋區,女,10,25～29歲,35～39歲,20210202
52,65000010,新北市板橋區,女,0,25～29歲,40～44歲,20210202
53,65000010,新北市板橋區,女,0,25～29歲,45～49歲,20210202
54,65000010,新北市板橋區,女,0,25～29歲,50歲以上,20210202
55,65000010,新北市板橋區,男,0,30～34歲,未滿15歲,20210202
56,65000010,新北市板橋區,男,1,30～34歲,15～19歲,20210202
57,65000010,新北市板橋區,男,19,30～34歲,20～24歲,20210202
58,65000010,新北市板橋區,男,145,30～34歲,25～29歲,20210202
59,65000010,新北市板橋區,男,333,30～34歲,30～34歲,20210202
60,65000010,新北市板橋區,男,73,30～34歲,35～39歲,20210202
61,65000010,新北市板橋區,男,4,30～34歲,40～44歲,20210202
62,65000010,新北市板橋區,男,1,30～34歲,45～49歲,20210202
63,65000010,新北市板橋區,男,0,30～34歲,50歲以上,20210202
64,65000010,新北市板橋區,女,0,30～34歲,未滿15歲,20210202
65,65000010,新北市板橋區,女,4,30～34歲,15～19歲,20210202
66,65000010,新北市板橋區,女,15,30～34歲,20～24歲,20210202
67,65000010,新北市板橋區,女,127,30～34歲,25～29歲,20210202
68,65000010,新北市板橋區,女,302,30～34歲,30～34歲,20210202
69,65000010,新北市板橋區,女,67,30～34歲,35～39歲,20210202
70,65000010,新北市板橋區,女,6,30～34歲,40～44歲,20210202
71,65000010,新北市板橋區,女,1,30～34歲,45～49歲,20210202
72,65000010,新北市板橋區,女,0,30～34歲,50歲以上,20210202
73,65000010,新北市板橋區,男,0,35～39歲,未滿15歲,20210202
74,65000010,新北市板橋區,男,2,35～39歲,15～19歲,20210202
75,65000010,新北市板橋區,男,17,35～39歲,20～24歲,20210202
76,65000010,新北市板橋區,男,60,35～39歲,25～29歲,20210202
77,65000010,新北市板橋區,男,209,35～39歲,30～34歲,20210202
78,65000010,新北市板橋區,男,316,35～39歲,35～39歲,20210202
79,65000010,新北市板橋區,男,32,35～39歲,40～44歲,20210202
80,65000010,新北市板橋區,男,0,35～39歲,45～49歲,20210202
81,65000010,新北市板橋區,男,0,35～39歲,50歲以上,20210202
82,65000010,新北市板橋區,女,0,35～39歲,未滿15歲,20210202
83,65000010,新北市板橋區,女,1,35～39歲,15～19歲,20210202
84,65000010,新北市板橋區,女,10,35～39歲,20～24歲,20210202
85,65000010,新北市板橋區,女,53,35～39歲,25～29歲,20210202
86,65000010,新北市板橋區,女,228,35～39歲,30～34歲,20210202
87,65000010,新北市板橋區,女,284,35～39歲,35～39歲,20210202
88,65000010,新北市板橋區,女,35,35～39歲,40～44歲,20210202
89,65000010,新北市板橋區,女,0,35～39歲,45～49歲,20210202
90,65000010,新北市板橋區,女,0,35～39歲,50歲以上,20210202
91,65000010,新北市板橋區,男,0,40～44歲,未滿15歲,20210202
92,65000010,新北市板橋區,男,0,40～44歲,15～19歲,20210202
93,65000010,新北市板橋區,男,5,40～44歲,20～24歲,20210202
94,65000010,新北市板橋區,男,18,40～44歲,25～29歲,20210202
95,65000010,新北市板橋區,男,58,40～44歲,30～34歲,20210202
96,65000010,新北市板橋區,男,139,40～44歲,35～39歲,20210202
97,65000010,新北市板橋區,男,69,40～44歲,40～44歲,20210202
98,65000010,新北市板橋區,男,3,40～44歲,45～49歲,20210202
99,65000010,新北市板橋區,男,0,40～44歲,50歲以上,20210202
100,65000010,新北市板橋區,女,0,40～44歲,未滿15歲,20210202
101,65000010,新北市板橋區,女,1,40～44歲,15～19歲,20210202
102,65000010,新北市板橋區,女,5,40～44歲,20～24歲,20210202
103,65000010,新北市板橋區,女,21,40～44歲,25～29歲,20210202
104,65000010,新北市板橋區,女,61,40～44歲,30～34歲,20210202
105,65000010,新北市板橋區,女,134,40～44歲,35～39歲,20210202
106,65000010,新北市板橋區,女,74,40～44歲,40～44歲,20210202
107,65000010,新北市板橋區,女,2,40～44歲,45～49歲,20210202
108,65000010,新北市板橋區,女,0,40～44歲,50歲以上,20210202
109,65000010,新北市板橋區,男,0,45～49歲,未滿15歲,20210202
110,65000010,新北市板橋區,男,0,45～49歲,15～19歲,20210202
111,65000010,新北市板橋區,男,2,45～49歲,20～24歲,20210202
112,65000010,新北市板橋區,男,3,45～49歲,25～29歲,20210202
113,65000010,新北市板橋區,男,8,45～49歲,30～34歲,20210202
114,65000010,新北市板橋區,男,24,45～49歲,35～39歲,20210202
115,65000010,新北市板橋區,男,15,45～49歲,40～44歲,20210202
116,65000010,新北市板橋區,男,6,45～49歲,45～49歲,20210202
117,65000010,新北市板橋區,男,0,45～49歲,50歲以上,20210202
118,65000010,新北市板橋區,女,0,45～49歲,未滿15歲,20210202
119,65000010,新北市板橋區,女,0,45～49歲,15～19歲,20210202
120,65000010,新北市板橋區,女,0,45～49歲,20～24歲,20210202
121,65000010,新北市板橋區,女,4,45～49歲,25～29歲,20210202
122,65000010,新北市板橋區,女,3,45～49歲,30～34歲,20210202
123,65000010,新北市板橋區,女,27,45～49歲,35～39歲,20210202
124,65000010,新北市板橋區,女,25,45～49歲,40～44歲,20210202
125,65000010,新北市板橋區,女,2,45～49歲,45～49歲,20210202
126,65000010,新北市板橋區,女,0,45～49歲,50歲以上,20210202
