SEQ,SITE_CODE,SITE_NAME,FATHER_AGE,MOTHER_AGE,BIRTH_CNT,SEX,UPDATE_DATE
1,65000010,新北市板橋區,未滿20歲,未滿15歲,0,男,2021-02-02
2,65000010,新北市板橋區,未滿20歲,15～19歲,0,男,2021-02-02
3,65000010,新北市板橋區,未滿20歲,20～24歲,1,男,2021-02-02
4,65000010,新北市板橋區,未滿20歲,25～29歲,0,男,2021-02-02
5,65000010,新北市板橋區,未滿20歲,30～34歲,0,男,2021-02-02
6,65000010,新北市板橋區,未滿20歲,35～39歲,0,男,2021-02-02
7,65000010,新北市板橋區,未滿20歲,40～44歲,0,男,2021-02-02
8,65000010,新北市板橋區,未滿20歲,45～49歲,0,男,2021-02-02
9,65000010,新北市板橋區,未滿20歲,50歲以上,0,男,2021-02-02
10,65000010,新北市板橋區,未滿20歲,未滿15歲,0,女,2021-02-02
11,65000010,新北市板橋區,未滿20歲,15～19歲,0,女,2021-02-02
12,65000010,新北市板橋區,未滿20歲,20～24歲,0,女,2021-02-02
13,65000010,新北市板橋區,未滿20歲,25～29歲,0,女,2021-02-02
14,65000010,新北市板橋區,未滿20歲,30～34歲,0,女,2021-02-02
15,65000010,新北市板橋區,未滿20歲,35～39歲,0,女,2021-02-02
16,65000010,新北市板橋區,未滿20歲,40～44歲,0,女,2021-02-02
17,65000010,新北市板橋區,未滿20歲,45～49歲,0,女,2021-02-02
18,65000010,新北市板橋區,未滿20歲,50歲以上,0,女,2021-02-02
19,65000010,新北市板橋區,20～24歲,未滿15歲,0,男,2021-02-02
20,65000010,新北市板橋區,20～24歲,15～19歲,7,男,2021-02-02
21,65000010,新北市板橋區,20～24歲,20～24歲,36,男,2021-02-02
22,65000010,新北市板橋區,20～24歲,25～29歲,7,男,2021-02-02
23,65000010,新北市板橋區,20～24歲,30～34歲,3,男,2021-02-02
24,65000010,新北市板橋區,20～24歲,35～39歲,0,男,2021-02-02
25,65000010,新北市板橋區,20～24歲,40～44歲,0,男,2021-02-02
26,65000010,新北市板橋區,20～24歲,45～49歲,0,男,2021-02-02
27,65000010,新北市板橋區,20～24歲,50歲以上,0,男,2021-02-02
28,65000010,新北市板橋區,20～24歲,未滿15歲,0,女,2021-02-02
29,65000010,新北市板橋區,20～24歲,15～19歲,4,女,2021-02-02
30,65000010,新北市板橋區,20～24歲,20～24歲,22,女,2021-02-02
31,65000010,新北市板橋區,20～24歲,25～29歲,9,女,2021-02-02
32,65000010,新北市板橋區,20～24歲,30～34歲,3,女,2021-02-02
33,65000010,新北市板橋區,20～24歲,35～39歲,0,女,2021-02-02
34,65000010,新北市板橋區,20～24歲,40～44歲,0,女,2021-02-02
35,65000010,新北市板橋區,20～24歲,45～49歲,0,女,2021-02-02
36,65000010,新北市板橋區,20～24歲,50歲以上,0,女,2021-02-02
37,65000010,新北市板橋區,25～29歲,未滿15歲,0,男,2021-02-02
38,65000010,新北市板橋區,25～29歲,15～19歲,3,男,2021-02-02
39,65000010,新北市板橋區,25～29歲,20～24歲,36,男,2021-02-02
40,65000010,新北市板橋區,25～29歲,25～29歲,119,男,2021-02-02
41,65000010,新北市板橋區,25～29歲,30～34歲,43,男,2021-02-02
42,65000010,新北市板橋區,25～29歲,35～39歲,10,男,2021-02-02
43,65000010,新北市板橋區,25～29歲,40～44歲,3,男,2021-02-02
44,65000010,新北市板橋區,25～29歲,45～49歲,0,男,2021-02-02
45,65000010,新北市板橋區,25～29歲,50歲以上,0,男,2021-02-02
46,65000010,新北市板橋區,25～29歲,未滿15歲,0,女,2021-02-02
47,65000010,新北市板橋區,25～29歲,15～19歲,4,女,2021-02-02
48,65000010,新北市板橋區,25～29歲,20～24歲,37,女,2021-02-02
49,65000010,新北市板橋區,25～29歲,25～29歲,109,女,2021-02-02
50,65000010,新北市板橋區,25～29歲,30～34歲,28,女,2021-02-02
51,65000010,新北市板橋區,25～29歲,35～39歲,10,女,2021-02-02
52,65000010,新北市板橋區,25～29歲,40～44歲,0,女,2021-02-02
53,65000010,新北市板橋區,25～29歲,45～49歲,0,女,2021-02-02
54,65000010,新北市板橋區,25～29歲,50歲以上,0,女,2021-02-02
55,65000010,新北市板橋區,30～34歲,未滿15歲,0,男,2021-02-02
56,65000010,新北市板橋區,30～34歲,15～19歲,1,男,2021-02-02
57,65000010,新北市板橋區,30～34歲,20～24歲,19,男,2021-02-02
58,65000010,新北市板橋區,30～34歲,25～29歲,145,男,2021-02-02
59,65000010,新北市板橋區,30～34歲,30～34歲,333,男,2021-02-02
60,65000010,新北市板橋區,30～34歲,35～39歲,73,男,2021-02-02
61,65000010,新北市板橋區,30～34歲,40～44歲,4,男,2021-02-02
62,65000010,新北市板橋區,30～34歲,45～49歲,1,男,2021-02-02
63,65000010,新北市板橋區,30～34歲,50歲以上,0,男,2021-02-02
64,65000010,新北市板橋區,30～34歲,未滿15歲,0,女,2021-02-02
65,65000010,新北市板橋區,30～34歲,15～19歲,4,女,2021-02-02
66,65000010,新北市板橋區,30～34歲,20～24歲,15,女,2021-02-02
67,65000010,新北市板橋區,30～34歲,25～29歲,127,女,2021-02-02
68,65000010,新北市板橋區,30～34歲,30～34歲,302,女,2021-02-02
69,65000010,新北市板橋區,30～34歲,35～39歲,67,女,2021-02-02
70,65000010,新北市板橋區,30～34歲,40～44歲,6,女,2021-02-02
71,65000010,新北市板橋區,30～34歲,45～49歲,1,女,2021-02-02
72,65000010,新北市板橋區,30～34歲,50歲以上,0,女,2021-02-02
73,65000010,新北市板橋區,35～39歲,未滿15歲,0,男,2021-02-02
74,65000010,新北市板橋區,35～39歲,15～19歲,2,男,2021-02-02
