statistic_yyy,district_code,sex,father_age,mother_age,birth_count,create_table
統計年度,區域別代碼,嬰兒性別,生父年齡,生母年齡,嬰兒出生數,建表日期
109,65000010,男,未滿20歲,未滿15歲,0,20210202
109,65000010,男,未滿20歲,15～19歲,0,20210202
109,65000010,男,未滿20歲,20～24歲,1,20210202
109,65000010,男,未滿20歲,25～29歲,0,20210202
109,65000010,男,未滿20歲,30～34歲,0,20210202
109,65000010,男,未滿20歲,35～39歲,0,20210202
109,65000010,男,未滿20歲,40～44歲,0,20210202
109,65000010,男,未滿20歲,45～49歲,0,20210202
109,65000010,男,未滿20歲,50歲以上,0,20210202
109,65000010,女,未滿20歲,未滿15歲,0,20210202
109,65000010,女,未滿20歲,15～19歲,0,20210202
109,65000010,女,未滿20歲,20～24歲,0,20210202
109,65000010,女,未滿20歲,25～29歲,0,20210202
109,65000010,女,未滿20歲,30～34歲,0,20210202
109,65000010,女,未滿20歲,35～39歲,0,20210202
109,65000010,女,未滿20歲,40～44歲,0,20210202
109,65000010,女,未滿20歲,45～49歲,0,20210202
109,65000010,女,未滿20歲,50歲以上,0,20210202
109,65000010,男,20～24歲,未滿15歲,0,20210202
109,65000010,男,20～24歲,15～19歲,7,20210202
109,65000010,男,20～24歲,20～24歲,36,20210202
109,65000010,男,20～24歲,25～29歲,7,20210202
109,65000010,男,20～24歲,30～34歲,3,20210202
109,65000010,男,20～24歲,35～39歲,0,20210202
109,65000010,男,20～24歲,40～44歲,0,20210202
109,65000010,男,20～24歲,45～49歲,0,20210202
109,65000010,男,20～24歲,50歲以上,0,20210202
109,65000010,女,20～24歲,未滿15歲,0,20210202
109,65000010,女,20～24歲,15～19歲,4,20210202
109,65000010,女,20～24歲,20～24歲,22,20210202
109,65000010,女,20～24歲,25～29歲,9,20210202
109,65000010,女,20～24歲,30～34歲,3,20210202
109,65000010,女,20～24歲,35～39歲,0,20210202
109,65000010,女,20～24歲,40～44歲,0,20210202
109,65000010,女,20～24歲,45～49歲,0,20210202
109,65000010,女,20～24歲,50歲以上,0,20210202
109,65000010,男,25～29歲,未滿15歲,0,20210202
109,65000010,男,25～29歲,15～19歲,3,20210202
109,65000010,男,25～29歲,20～24歲,36,20210202
109,65000010,男,25～29歲,25～29歲,119,20210202
109,65000010,男,25～29歲,30～34歲,43,20210202
109,65000010,男,25～29歲,35～39歲,10,20210202
109,65000010,男,25～29歲,40～44歲,3,20210202
109,65000010,男,25～29歲,45～49歲,0,20210202
109,65000010,男,25～29歲,50歲以上,0,20210202
109,65000010,女,25～29歲,未滿15歲,0,20210202
109,65000010,女,25～29歲,15～19歲,4,20210202
109,65000010,女,25～29歲,20～24歲,37,20210202
109,65000010,女,25～29歲,25～29歲,109,20210202
109,65000010,女,25～29歲,30～34歲,28,20210202
109,65000010,女,25～29歲,35～39歲,10,20210202
109,65000010,女,25～29歲,40～44歲,0,20210202
109,65000010,女,25～29歲,45～49歲,0,20210202
109,65000010,女,25～29歲,50歲以上,0,20210202
109,65000010,男,30～34歲,未滿15歲,0,20210202
109,65000010,男,30～34歲,15～19歲,1,20210202
109,65000010,男,30～34歲,20～24歲,19,20210202
109,65000010,男,30～34歲,25～29歲,145,20210202
109,65000010,男,30～34歲,30～34歲,333,20210202
109,65000010,男,30～34歲,35～39歲,73,20210202
109,65000010,男,30～34歲,40～44歲,4,20210202
109,65000010,男,30～34歲,45～49歲,1,20210202
109,65000010,男,30～34歲,50歲以上,0,20210202
109,65000010,女,30～34歲,未滿15歲,0,20210202
109,65000010,女,30～34歲,15～19歲,4,20210202
109,65000010,女,30～34歲,20～24歲,15,20210202
109,65000010,女,30～34歲,25～29歲,127,20210202
109,65000010,女,30～34歲,30～34歲,302,20210202
109,65000010,女,30～34歲,35～39歲,67,20210202
109,65000010,女,30～34歲,40～44歲,6,20210202
109,65000010,女,30～34歲,45～49歲,1,20210202
109,65000010,女,30～34歲,50歲以上,0,20210202
109,65000010,男,35～39歲,未滿15歲,0,20210202
109,65000010,男,35～39歲,15～19歲,2,20210202
109,65000010,男,35～39歲,20～24歲,17,20210202
109,65000010,男,35～39歲,25～29歲,60,20210202
109,65000010,男,35～39歲,30～34歲,209,20210202
109,65000010,男,35～39歲,35～39歲,316,20210202
109,65000010,男,35～39歲,40～44歲,32,20210202
109,65000010,男,35～39歲,45～49歲,0,20210202
109,65000010,男,35～39歲,50歲以上,0,20210202
109,65000010,女,35～39歲,未滿15歲,0,20210202
109,65000010,女,35～39歲,15～19歲,1,20210202
109,65000010,女,35～39歲,20～24歲,10,20210202
109,65000010,女,35～39歲,25～29歲,53,20210202
109,65000010,女,35～39歲,30～34歲,228,20210202
109,65000010,女,35～39歲,35～39歲,284,20210202
109,65000010,女,35～39歲,40～44歲,35,20210202
109,65000010,女,35～39歲,45～49歲,0,20210202
109,65000010,女,35～39歲,50歲以上,0,20210202
109,65000010,男,40～44歲,未滿15歲,0,20210202
109,65000010,男,40～44歲,15～19歲,0,20210202
109,65000010,男,40～44歲,20～24歲,5,20210202
109,65000010,男,40～44歲,25～29歲,18,20210202
109,65000010,男,40～44歲,30～34歲,58,20210202
109,65000010,男,40～44歲,35～39歲,139,20210202
109,65000010,男,40～44歲,40～44歲,69,20210202
109,65000010,男,40～44歲,45～49歲,3,20210202
109,65000010,男,40～44歲,50歲以上,0,20210202
109,65000010,女,40～44歲,未滿15歲,0,20210202
109,65000010,女,40～44歲,15～19歲,1,20210202
109,65000010,女,40～44歲,20～24歲,5,20210202
109,65000010,女,40～44歲,25～29歲,21,20210202
109,65000010,女,40～44歲,30～34歲,61,20210202
109,65000010,女,40～44歲,35～39歲,134,20210202
109,65000010,女,40～44歲,40～44歲,74,20210202
109,65000010,女,40～44歲,45～49歲,2,20210202
109,65000010,女,40～44歲,50歲以上,0,20210202
109,65000010,男,45～49歲,未滿15歲,0,20210202
